id,review_text,sentiment,confidence_score
1,"The product is amazing, I love it!",negative,0.7
2,The quality is poor and it broke after a week.,negative,0.7
3,"Fantastic experience, would highly recommend!",negative,0.7
4,"It’s okay, but not as expected.",negative,0.7
5,Very comfortable and durable.,negative,0.7
6,Not worth the money at all.,negative,0.7
7,"Quick delivery, excellent customer service!",negative,0.7
8,The product didn’t fit as expected.,negative,0.7
9,Great value for the price.,negative,0.7
10,The material feels cheap and flimsy.,negative,0.7
11,One of the best purchases I’ve made!,negative,0.7
12,It arrived late and damaged.,negative,0.7
13,"The packaging was great, but the product wasn’t.",negative,0.7
14,"Good quality, but overpriced.",positive,0.9
15,"Just what I needed, highly satisfied.",negative,0.7
16,The color is different from the picture.,negative,0.7
17,"Overall, I’m happy with the product.",negative,0.7
18,The instructions were unclear.,negative,0.7
19,It’s too small for what I expected.,negative,0.7
20,Great product for the price!,negative,0.7
21,"Not a fan of this one, it doesn’t work well.",negative,0.7
22,"It’s a solid product, would buy again.",negative,0.7
23,"Good for daily use, happy with it.",positive,0.9
24,Very disappointed with the product.,negative,0.7
25,It broke after the first use.,negative,0.7
26,"Love the design, very stylish.",negative,0.7
27,It’s okay but I expected better quality.,negative,0.7
28,The customer service was very helpful.,negative,0.7
29,It’s exactly what I needed.,negative,0.7
30,It didn’t meet my expectations at all.,negative,0.7
31,"The product is as described, very satisfied.",negative,0.7
32,"The performance is subpar, needs improvement.",negative,0.7
33,"Very happy with the purchase, would recommend.",negative,0.7
34,It wasn’t worth the money.,negative,0.7
35,"Product works great, no issues.",negative,0.7
36,The reviews were misleading.,negative,0.7
37,The product quality is exceptional.,negative,0.7
38,"Wouldn’t buy again, poor quality.",negative,0.7
39,"Great for beginners, very user-friendly.",negative,0.7
40,"It works, but I’m not in love with it.",negative,0.7
41,Excellent value for the price.,negative,0.7
42,"The item is defective, returning it.",negative,0.7
43,"So glad I bought this, very useful.",negative,0.7
44,"It arrived in perfect condition, great job.",negative,0.7
45,The product didn’t match the description.,negative,0.7
46,"The service was slow, but the product is fine.",negative,0.7
47,"Happy with the purchase, fits well.",negative,0.7
48,"It does the job, but could be better.",negative,0.7
49,"Quality is great, very durable.",negative,0.7
50,It’s exactly what I was hoping for.,negative,0.7
